ticker,trade_date,front_generation,front_greek_rows,front_iv_rows,back_generation,back_greek_rows,back_iv_rows
SPY,20260213,VINTAGE,612,612,VINTAGE,960,960
SPY,20260217,VINTAGE,684,684,VINTAGE,960,960
SPY,20260218,VINTAGE,684,684,VINTAGE,960,960
SPY,20260219,VINTAGE,684,684,VINTAGE,960,960
SPY,20260220,VINTAGE,960,960,VINTAGE,956,956
SPY,20260223,VINTAGE,620,620,VINTAGE,956,956
SPY,20260224,VINTAGE,640,640,VINTAGE,956,956
SPY,20260225,VINTAGE,660,660,VINTAGE,956,956
SPY,20260226,VINTAGE,624,624,VINTAGE,956,956
SPY,20260227,VINTAGE,956,956,VINTAGE,788,788
SPY,20260302,VINTAGE,620,620,VINTAGE,788,788
SPY,20260303,VINTAGE,620,620,VINTAGE,788,788
SPY,20260304,VINTAGE,620,620,VINTAGE,788,788
SPY,20260305,VINTAGE,676,676,VINTAGE,788,788
SPY,20260306,VINTAGE,788,788,VINTAGE,828,828
SPY,20260309,VINTAGE,752,752,VINTAGE,828,828
SPY,20260310,VINTAGE,700,700,VINTAGE,828,828
SPY,20260311,VINTAGE,700,700,VINTAGE,828,828
SPY,20260312,VINTAGE,700,700,VINTAGE,828,828
SPY,20260313,VINTAGE,828,828,VINTAGE,1056,1056
SPY,20260316,VINTAGE,732,732,VINTAGE,1056,1056
SPY,20260317,VINTAGE,656,656,VINTAGE,1056,1056
SPY,20260318,VINTAGE,688,688,VINTAGE,1056,1056
SPY,20260320,VINTAGE,1056,1056,VINTAGE,820,820
SPY,20260323,VINTAGE,684,684,VINTAGE,820,820
SPY,20260324,VINTAGE,812,812,VINTAGE,820,820
SPY,20260325,VINTAGE,812,812,VINTAGE,820,820
SPY,20260326,VINTAGE,812,812,VINTAGE,820,820
SPY,20260327,VINTAGE,820,820,VINTAGE,836,836
SPY,20260330,VINTAGE,684,684,VINTAGE,836,836
SPY,20260331,VINTAGE,1316,1316,VINTAGE,836,836
SPY,20260402,VINTAGE,836,836,VINTAGE,852,852
SPY,20260406,VINTAGE,684,684,VINTAGE,852,852
SPY,20260407,VINTAGE,684,684,VINTAGE,852,852
SPY,20260408,VINTAGE,684,684,VINTAGE,852,852
SPY,20260410,VINTAGE,852,852,VINTAGE,1076,1076
SPY,20260413,VINTAGE,740,740,VINTAGE,1076,1076
SPY,20260414,VINTAGE,732,732,VINTAGE,1076,1076
SPY,20260416,VINTAGE,732,732,VINTAGE,1076,1076
SPY,20260417,VINTAGE,1076,1076,VINTAGE,864,864
SPY,20260420,VINTAGE,812,812,VINTAGE,864,864
SPY,20260421,VINTAGE,812,812,VINTAGE,864,864
SPY,20260422,VINTAGE,732,732,VINTAGE,864,864
SPY,20260423,VINTAGE,748,748,VINTAGE,864,864
SPY,20260424,VINTAGE,864,864,VINTAGE,884,884
SPY,20260427,VINTAGE,704,704,VINTAGE,884,884
SPY,20260428,VINTAGE,780,780,VINTAGE,948,948
SPY,20260429,VINTAGE,780,780,VINTAGE,948,948
SPY,20260430,VINTAGE,956,956,VINTAGE,948,948
SPY,20260501,VINTAGE,948,948,VINTAGE,884,884
SPY,20260504,VINTAGE,636,636,VINTAGE,884,884
SPY,20260505,VINTAGE,356,356,VINTAGE,904,904
SPY,20260506,VINTAGE,364,364,VINTAGE,912,912
SPY,20260507,VINTAGE,372,372,VINTAGE,912,912
SPY,20260508,VINTAGE,912,912,VINTAGE,1016,1016
SPY,20260511,VINTAGE,700,700,VINTAGE,1076,1076
SPY,20260512,VINTAGE,700,700,VINTAGE,1076,1076
SPY,20260513,VINTAGE,700,700,VINTAGE,1076,1076
SPY,20260514,VINTAGE,684,684,VINTAGE,1076,1076
SPY,20260515,VINTAGE,1076,1076,VINTAGE,964,964
SPY,20260518,VINTAGE,732,732,VINTAGE,964,964
SPY,20260519,VINTAGE,676,676,VINTAGE,964,964
SPY,20260520,VINTAGE,676,676,VINTAGE,964,964
SPY,20260521,VINTAGE,652,652,VINTAGE,964,964
SPY,20260522,VINTAGE,964,964,VINTAGE,976,976
SPY,20260526,VINTAGE,636,636,VINTAGE,976,976
SPY,20260527,VINTAGE,716,716,VINTAGE,1056,1056
SPY,20260528,VINTAGE,716,716,VINTAGE,1056,1056
SPY,20260529,VINTAGE,1056,1056,VINTAGE,1084,1084
SPY,20260601,VINTAGE,700,700,VINTAGE,1084,1084
SPY,20260602,VINTAGE,700,700,VINTAGE,1084,1084
SPY,20260603,VINTAGE,700,700,VINTAGE,1084,1084
SPY,20260604,VINTAGE,700,700,VINTAGE,1084,1084
SPY,20260605,VINTAGE,1084,1084,VINTAGE,804,804
SPY,20260608,VINTAGE,684,684,VINTAGE,804,804
SPY,20260609,VINTAGE,684,684,VINTAGE,804,804
SPY,20260610,VINTAGE,684,684,VINTAGE,804,804
SPY,20260611,VINTAGE,684,684,VINTAGE,804,804
SPY,20260612,VINTAGE,804,804,VINTAGE,1056,1056
SPY,20260615,VINTAGE,732,732,VINTAGE,1056,1056
SPY,20260616,VINTAGE,752,752,VINTAGE,1056,1056
SPY,20260617,VINTAGE,784,784,VINTAGE,1056,1056
SPY,20260618,VINTAGE,1056,1056,VINTAGE,704,704
SPY,20260622,VINTAGE,684,684,VINTAGE,704,704
SPY,20260623,VINTAGE,684,684,VINTAGE,704,704
SPY,20260624,RETRY,632,632,VINTAGE,704,704
SPY,20260625,RETRY,604,604,VINTAGE,708,708
SPY,20260626,RETRY,708,708,VINTAGE,820,820
SPY,20260629,VINTAGE,692,692,VINTAGE,820,820
SPY,20260630,VINTAGE,1344,1344,VINTAGE,820,820
SPY,20260702,VINTAGE,820,820,VINTAGE,868,868
SPY,20260706,VINTAGE,668,668,VINTAGE,868,868
SPY,20260708,VINTAGE,668,668,VINTAGE,868,868
SPY,20260709,VINTAGE,668,668,VINTAGE,868,868
SPY,20260713,VINTAGE,668,668,VINTAGE,996,996
SPY,20260714,VINTAGE,668,668,VINTAGE,996,996
SPY,20260715,VINTAGE,668,668,VINTAGE,996,996
SPY,20260717,VINTAGE,996,996,VINTAGE,804,804
SPY,20260720,VINTAGE,668,668,VINTAGE,804,804
SPY,20260721,VINTAGE,668,668,VINTAGE,804,804
SPY,20260722,VINTAGE,668,668,VINTAGE,804,804
SPY,20260723,VINTAGE,668,668,VINTAGE,804,804
SPY,20260724,VINTAGE,804,804,VINTAGE,1000,1000
