ticker,year,month,rows,eligible,both_valid
SPXW,2023,202311,97,0.865979381443299,0.865979381443299
SPXW,2023,202312,125,0.92,0.92
SPXW,2024,202401,129,0.8992248062015504,0.8992248062015504
SPXW,2024,202402,111,0.918918918918919,0.918918918918919
SPXW,2024,202403,88,0.9204545454545454,0.9204545454545454
SPXW,2024,202404,67,0.9402985074626866,0.9402985074626866
SPXW,2024,202405,85,0.8470588235294118,0.8470588235294118
SPXW,2024,202406,105,0.9047619047619048,0.9047619047619048
SPXW,2024,202407,106,0.9528301886792453,0.9528301886792453
SPXW,2024,202408,73,0.9315068493150684,0.9315068493150684
SPXW,2024,202409,80,0.8875,0.8875
SPXW,2024,202410,96,0.9270833333333334,0.9270833333333334
SPXW,2024,202411,66,0.9393939393939394,0.9393939393939394
SPXW,2024,202412,150,0.9333333333333333,0.9333333333333333
SPXW,2025,202501,85,0.9294117647058824,0.9294117647058824
SPXW,2025,202502,70,0.9571428571428572,0.9571428571428572
SPXW,2025,202503,46,0.9782608695652174,0.9782608695652174
SPXW,2025,202504,52,0.9423076923076923,0.9423076923076923
SPXW,2025,202505,58,0.9482758620689655,0.9482758620689655
SPXW,2025,202506,76,0.9736842105263158,0.9736842105263158
SPXW,2025,202507,121,0.8925619834710744,0.8925619834710744
SPXW,2025,202508,94,0.9361702127659575,0.9361702127659575
SPXW,2025,202509,110,0.9,0.9
SPXW,2025,202510,85,0.9058823529411765,0.9058823529411765
SPXW,2025,202511,70,0.9428571428571428,0.9428571428571428
SPXW,2025,202512,122,0.9344262295081968,0.9344262295081968
SPY,2022,202208,56,0.9642857142857143,0.9642857142857143
SPY,2022,202209,22,0.9090909090909091,0.9090909090909091
SPY,2022,202210,22,1.0,1.0
SPY,2022,202211,68,0.9411764705882353,0.9411764705882353
SPY,2022,202212,90,0.9444444444444444,0.9444444444444444
SPY,2023,202301,91,0.967032967032967,0.967032967032967
SPY,2023,202302,60,0.9,0.9
SPY,2023,202303,101,0.9405940594059405,0.9405940594059405
SPY,2023,202304,87,0.8735632183908046,0.8735632183908046
SPY,2023,202305,101,0.9306930693069307,0.9306930693069307
SPY,2023,202306,128,0.921875,0.921875
SPY,2023,202307,98,0.9285714285714286,0.9285714285714286
SPY,2023,202308,111,0.9009009009009009,0.9009009009009009
SPY,2023,202309,98,0.8979591836734694,0.8979591836734694
SPY,2023,202310,126,0.9603174603174603,0.9603174603174603
SPY,2023,202311,125,0.888,0.888
SPY,2023,202312,92,0.8695652173913043,0.8695652173913043
SPY,2024,202401,107,0.8598130841121495,0.8598130841121495
SPY,2024,202402,134,0.8805970149253731,0.8805970149253731
SPY,2024,202403,120,0.9416666666666667,0.9416666666666667
SPY,2024,202404,87,0.9310344827586207,0.9310344827586207
SPY,2024,202405,91,0.8681318681318682,0.8681318681318682
SPY,2024,202406,122,0.8934426229508197,0.8934426229508197
SPY,2024,202407,101,0.8217821782178217,0.8217821782178217
SPY,2024,202408,99,0.9191919191919192,0.9191919191919192
SPY,2024,202409,107,0.9345794392523364,0.9345794392523364
SPY,2024,202410,137,0.8759124087591241,0.8759124087591241
SPY,2024,202411,75,0.88,0.88
SPY,2024,202412,115,0.9217391304347826,0.9217391304347826
SPY,2025,202501,82,0.9024390243902439,0.9024390243902439
SPY,2025,202502,65,0.9230769230769231,0.9230769230769231
SPY,2025,202503,84,0.9166666666666666,0.9166666666666666
SPY,2025,202504,39,0.9743589743589743,0.9743589743589743
SPY,2025,202505,97,0.9381443298969072,0.9381443298969072
SPY,2025,202506,107,0.9158878504672897,0.9158878504672897
SPY,2025,202507,157,0.8789808917197452,0.8789808917197452
SPY,2025,202508,117,0.8632478632478633,0.8632478632478633
SPY,2025,202509,154,0.8961038961038961,0.8961038961038961
SPY,2025,202510,142,0.8873239436619719,0.8802816901408451
SPY,2025,202511,89,0.9101123595505618,0.9101123595505618
SPY,2025,202512,151,0.9205298013245033,0.9205298013245033
